Epoch,Train Accuracy,Train Loss,Valid Accuracy,Valid Loss,Time
1,0.845309381237525,0.4241719882563663,0.829,0.38038165401667356,71.0646014213562
2,0.8542914171656687,0.3311227977227507,0.837,0.3667977009899914,66.37586164474487
3,0.8932135728542914,0.2771675703927742,0.836,0.38979345140978694,66.71445298194885
4,0.8882235528942116,0.21706589586301636,0.817,0.4477869423571974,67.382000207901
5,0.9221556886227545,0.16860060690957313,0.828,0.48360657086595893,67.63222980499268
6,0.9491017964071856,0.1268510722747074,0.834,0.5725759365595877,70.83458495140076
7,0.9471057884231537,0.10108033013726461,0.822,0.6603781841695309,68.28462529182434
8,0.9580838323353293,0.0864471024355873,0.823,0.7091990408953279,68.06442427635193
9,0.9630738522954092,0.07199372852359734,0.821,0.7825453870464116,68.55774545669556
10,0.9620758483033932,0.06369894098765512,0.826,0.8542406741034938,69.73461389541626
